"st","lat","long","y","x","year","month","day","weekno","weekday","hr","min","pixel"
1,12.9695,77.6006,356,540,2016,2,13,2,5,16,0,1
1,12.9695,77.6006,358,540,2016,2,13,2,5,16,0,3
1,12.9695,77.6006,359,540,2016,2,13,2,5,16,0,3
1,12.9695,77.6006,359,541,2016,2,13,2,5,16,0,3
1,12.9695,77.6006,359,542,2016,2,13,2,5,16,0,3
1,12.9695,77.6007,359,546,2016,2,13,2,5,16,0,2
1,12.9694,77.6006,360,541,2016,2,13,2,5,16,0,3
1,12.9694,77.6006,360,542,2016,2,13,2,5,16,0,3
1,12.9694,77.6006,360,543,2016,2,13,2,5,16,0,3
1,12.9694,77.6007,360,544,2016,2,13,2,5,16,0,3
1,12.9694,77.6007,360,545,2016,2,13,2,5,16,0,3
1,12.9694,77.6006,361,543,2016,2,13,2,5,16,0,3
1,12.9694,77.6007,361,544,2016,2,13,2,5,16,0,3
1,12.9694,77.6007,361,545,2016,2,13,2,5,16,0,3
1,12.9694,77.6006,362,542,2016,2,13,2,5,16,0,2
1,12.9694,77.6007,363,545,2016,2,13,2,5,16,0,2
1,12.9693,77.6005,365,538,2016,2,13,2,5,16,0,1
1,12.9692,77.6005,370,538,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,371,537,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,371,538,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,371,541,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,372,537,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,372,538,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,372,539,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,372,540,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,372,541,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,372,542,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,372,543,2016,2,13,2,5,16,0,2
1,12.9692,77.6007,372,544,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,373,537,2016,2,13,2,5,16,0,2
1,12.9692,77.6005,373,538,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,373,540,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,373,541,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,373,542,2016,2,13,2,5,16,0,2
1,12.9692,77.6006,373,543,2016,2,13,2,5,16,0,2
1,12.9692,77.6007,373,544,2016,2,13,2,5,16,0,2
1,12.9691,77.6005,374,537,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,374,540,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,374,541,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,374,542,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,374,543,2016,2,13,2,5,16,0,2
1,12.9691,77.6007,374,544,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,375,540,2016,2,13,2,5,16,0,2
1,12.9691,77.6006,375,543,2016,2,13,2,5,16,0,2
1,12.9691,77.6018,375,595,2016,2,13,2,5,16,0,3
1,12.9691,77.6018,375,597,2016,2,13,2,5,16,0,1
1,12.9691,77.6006,376,543,2016,2,13,2,5,16,0,2
1,12.9691,77.6017,376,594,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,377,592,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,377,593,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,377,594,2016,2,13,2,5,16,0,3
1,12.9691,77.6018,377,595,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,378,591,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,378,592,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,378,593,2016,2,13,2,5,16,0,3
1,12.9691,77.6017,378,594,2016,2,13,2,5,16,0,3
1,12.9691,77.6018,378,595,2016,2,13,2,5,16,0,3
1,12.9691,77.6018,378,597,2016,2,13,2,5,16,0,2
1,12.969,77.6016,379,589,2016,2,13,2,5,16,0,3
1,12.969,77.6016,379,590,2016,2,13,2,5,16,0,3
1,12.969,77.6017,379,591,2016,2,13,2,5,16,0,3
1,12.969,77.6017,379,592,2016,2,13,2,5,16,0,3
1,12.969,77.6017,379,593,2016,2,13,2,5,16,0,3
1,12.969,77.6017,379,594,2016,2,13,2,5,16,0,3
1,12.969,77.6018,379,595,2016,2,13,2,5,16,0,3
1,12.969,77.6018,379,596,2016,2,13,2,5,16,0,3
1,12.969,77.6019,379,600,2016,2,13,2,5,16,0,2
1,12.969,77.6016,380,588,2016,2,13,2,5,16,0,3
1,12.969,77.6016,380,589,2016,2,13,2,5,16,0,3
