"st","lat","long","y","x","year","month","day","weekno","weekday","hr","min","pixel"
31,13.0758,77.593,88,453,2016,3,5,1,5,8,30,2
31,13.0758,77.5937,88,455,2016,3,5,1,5,8,30,2
31,13.0758,77.594,88,456,2016,3,5,1,5,8,30,2
31,13.0758,77.5944,88,457,2016,3,5,1,5,8,30,2
31,13.0755,77.5927,89,452,2016,3,5,1,5,8,30,2
31,13.0755,77.593,89,453,2016,3,5,1,5,8,30,2
31,13.0755,77.5937,89,455,2016,3,5,1,5,8,30,2
31,13.0755,77.594,89,456,2016,3,5,1,5,8,30,2
31,13.0755,77.5944,89,457,2016,3,5,1,5,8,30,2
31,13.0755,77.5947,89,458,2016,3,5,1,5,8,30,2
31,13.0751,77.5927,90,452,2016,3,5,1,5,8,30,2
31,13.0751,77.593,90,453,2016,3,5,1,5,8,30,2
31,13.0751,77.5937,90,455,2016,3,5,1,5,8,30,2
31,13.0751,77.594,90,456,2016,3,5,1,5,8,30,2
31,13.0751,77.5944,90,457,2016,3,5,1,5,8,30,2
31,13.0751,77.5947,90,458,2016,3,5,1,5,8,30,2
31,13.0748,77.5927,91,452,2016,3,5,1,5,8,30,2
31,13.0748,77.593,91,453,2016,3,5,1,5,8,30,2
31,13.0748,77.5937,91,455,2016,3,5,1,5,8,30,2
31,13.0748,77.594,91,456,2016,3,5,1,5,8,30,2
31,13.0748,77.5944,91,457,2016,3,5,1,5,8,30,2
31,13.0748,77.5947,91,458,2016,3,5,1,5,8,30,2
31,13.0745,77.5927,92,452,2016,3,5,1,5,8,30,2
31,13.0745,77.593,92,453,2016,3,5,1,5,8,30,2
31,13.0745,77.5937,92,455,2016,3,5,1,5,8,30,2
31,13.0745,77.594,92,456,2016,3,5,1,5,8,30,2
31,13.0745,77.5947,92,458,2016,3,5,1,5,8,30,2
31,13.0741,77.5927,93,452,2016,3,5,1,5,8,30,2
31,13.0741,77.593,93,453,2016,3,5,1,5,8,30,2
